# Lines starting with ”#” will be treated as comments.																			
# This file can be reloaded with the ”reload stats” console command																			
#							dmg reduction from							missile weapons only					
#						%of dmg that will	armo is multiplied		100	50				minimum speed					
#					%bonus dmg	go through shields	with this							of missiles					
key	cost	power	min_damage	max_damage	shield_damage	shield_penetration	armor_penetration	min_windup	max_windup	cooldown	range	accuracy	tracking	missile_speed	missile_evasion	missile_health	missile_armor	missile_shield	end
# Lasers																			
SMALL_RED_LASER	2.50	-2.50	2	3	0.80	0.00	0.15	2.00	23.00	25.00	30.00	0.90	0.60	0.00	0.00	0.00	0.00	0.00	
MEDIUM_RED_LASER	5.00	-5.00	4	7	0.80	0.00	0.30	2.00	23.00	25.00	50.00	0.85	0.30	0.00	0.00	0.00	0.00	0.00	
LARGE_RED_LASER	10.00	-10.00	8	14	0.80	0.00	0.60	2.00	23.00	25.00	70.00	0.80	0.05	0.00	0.00	0.00	0.00	0.00	
SMALL_BLUE_LASER	5.00	-5.00	4	6	0.80	0.00	0.15	2.00	23.00	25.00	30.00	0.90	0.60	0.00	0.00	0.00	0.00	0.00	
MEDIUM_BLUE_LASER	10.00	-10.00	8	14	0.80	0.00	0.30	2.00	23.00	25.00	50.00	0.85	0.30	0.00	0.00	0.00	0.00	0.00	
LARGE_BLUE_LASER	20.00	-20.00	16	28	0.80	0.00	0.60	2.00	23.00	25.00	70.00	0.80	0.05	0.00	0.00	0.00	0.00	0.00	
SMALL_UV_LASER	7.50	-7.50	6	9	0.80	0.00	0.15	2.00	23.00	25.00	30.00	0.90	0.60	0.00	0.00	0.00	0.00	0.00	
MEDIUM_UV_LASER	15.00	-15.00	12	21	0.80	0.00	0.30	2.00	23.00	25.00	50.00	0.85	0.30	0.00	0.00	0.00	0.00	0.00	
LARGE_UV_LASER	30.00	-30.00	24	42	0.80	0.00	0.60	2.00	23.00	25.00	70.00	0.80	0.05	0.00	0.00	0.00	0.00	0.00	
SMALL_XRAY_LASER	10.00	-10.00	8	12	0.80	0.00	0.15	2.00	23.00	25.00	30.00	0.90	0.60	0.00	0.00	0.00	0.00	0.00	
MEDIUM_XRAY_LASER	20.00	-20.00	16	28	0.80	0.00	0.30	2.00	23.00	25.00	50.00	0.85	0.30	0.00	0.00	0.00	0.00	0.00	
LARGE_XRAY_LASER	40.00	-40.00	32	56	0.80	0.00	0.60	2.00	23.00	25.00	70.00	0.80	0.05	0.00	0.00	0.00	0.00	0.00	
SMALL_GAMMA_LASER	12.50	-12.50	10	15	0.80	0.00	0.15	2.00	23.00	25.00	30.00	0.90	0.60	0.00	0.00	0.00	0.00	0.00	
MEDIUM_GAMMA_LASER	25.00	-25.00	20	35	0.80	0.00	0.30	2.00	23.00	25.00	50.00	0.85	0.30	0.00	0.00	0.00	0.00	0.00	
LARGE_GAMMA_LASER	50.00	-50.00	40	70	0.80	0.00	0.60	2.00	23.00	25.00	70.00	0.80	0.05	0.00	0.00	0.00	0.00	0.00	
# Spaceport Laser																			
